,location,city,country,utc,weekday,local,parameter,value,unit,latitude,longitude,attribution
20,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T20:00:00Z,6,2020-06-19T01:30:00+05:30,o3,7.37,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
21,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T19:30:00Z,6,2020-06-19T01:00:00+05:30,o3,9.04,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
22,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T19:00:00Z,6,2020-06-19T00:30:00+05:30,o3,8.09,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
23,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T18:00:00Z,5,2020-06-18T23:30:00+05:30,o3,8.35,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
24,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T14:30:00Z,5,2020-06-18T20:00:00+05:30,o3,5.68,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
25,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T13:00:00Z,5,2020-06-18T18:30:00+05:30,o3,28.36,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
26,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T12:45:00Z,5,2020-06-18T18:15:00+05:30,o3,26.13,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
27,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T11:15:00Z,5,2020-06-18T16:45:00+05:30,o3,28.4,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
28,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T11:00:00Z,5,2020-06-18T16:30:00+05:30,o3,27.5,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
29,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T10:45:00Z,5,2020-06-18T16:15:00+05:30,o3,26.19,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
30,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T10:15:00Z,5,2020-06-18T15:45:00+05:30,o3,28.05,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
31,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T09:30:00Z,5,2020-06-18T15:00:00+05:30,o3,27.2,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
32,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T08:00:00Z,5,2020-06-18T13:30:00+05:30,o3,27.2,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
33,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T05:30:00Z,5,2020-06-18T11:00:00+05:30,o3,24.6,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
34,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-18T04:00:00Z,5,2020-06-18T09:30:00+05:30,o3,9.15,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
35,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-17T01:45:00Z,4,2020-06-17T07:15:00+05:30,o3,17.44,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
36,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-17T01:00:00Z,4,2020-06-17T06:30:00+05:30,o3,16.9,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
37,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-16T15:15:00Z,3,2020-06-16T20:45:00+05:30,o3,35.57,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
